UTC,air_temp,M1,M2,M3,AMB,OBStar,OBPort,FPA,ROIC,boardid,med_counts,sun_alt
60754.30457372685,9.1,5.374,5.249,609.546,3.44,13.01544813948133,13.66585150262191,-27.22232212316408,-26.34583649902339,2,14033.0,-55.5988526942332
60754.30457372685,9.1,5.374,5.249,609.546,3.44,13.01544813948133,13.66585150262191,-23.51225950320799,-19.72061874999997,6,12823.0,-55.5988526942332
60754.30457372685,9.1,5.374,5.249,609.546,3.44,13.01544813948133,13.66585150262191,-32.39634360879592,-26.4863806152344,5,18565.0,-55.5988526942332
60754.30457372685,9.1,5.374,5.249,609.546,3.44,13.01544813948133,13.66585150262191,-25.64625436938383,-21.78966542968743,1,14647.0,-55.5988526942332
60754.30457372685,9.1,5.374,5.249,609.546,3.44,13.01544813948133,13.66585150262191,-32.54553131203227,-21.42159516601555,3,16308.0,-55.5988526942332
60754.30457372685,9.1,5.374,5.249,609.546,3.44,13.01544813948133,13.66585150262191,-37.93199259730176,-34.93092487792973,4,11787.0,-55.5988526942332
60754.33310680556,8.2,4.98,4.854,697.936,3.047,12.56363323386656,13.41259586502503,-28.66185259298828,-26.02040541992181,2,13978.0,-56.64334218011214
60754.33310680556,8.2,4.98,4.854,697.936,3.047,12.56363323386656,13.41259586502503,-23.51225950320799,-19.82982812500001,6,12793.0,-56.64334218011214
60754.33310680556,8.2,4.98,4.854,697.936,3.047,12.56363323386656,13.41259586502503,-32.75622622625201,-26.5957551513672,5,18510.0,-56.64334218011214
60754.33310680556,8.2,4.98,4.854,697.936,3.047,12.56363323386656,13.41259586502503,-26.00613698683981,-21.68138740234372,1,14685.0,-56.64334218011214
60754.33310680556,8.2,4.98,4.854,697.936,3.047,12.56363323386656,13.41259586502503,-32.54553131203227,-21.52879521484368,3,16225.0,-56.64334218011214
60754.33310680556,8.2,4.98,4.854,697.936,3.047,12.56363323386656,13.41259586502503,-37.93199259730176,-34.93092487792973,4,11769.0,-56.64334218011214
60754.17906137731,8.5,7.346,7.615,774.052,4.913,14.01399528293257,14.8466045508224,-27.22232212316408,-27.32212973632807,2,14272.0,-29.24767557101415
60754.17906137731,8.5,7.346,7.615,774.052,4.913,14.01399528293257,14.8466045508224,-23.87214212066408,-19.82982812500001,6,12993.0,-29.24767557101415
60754.17906137731,8.5,7.346,7.615,774.052,4.913,14.01399528293257,14.8466045508224,-32.39634360879592,-26.4863806152344,5,18841.0,-29.24767557101415
60754.17906137731,8.5,7.346,7.615,774.052,4.913,14.01399528293257,14.8466045508224,-25.64625436938383,-21.68138740234372,1,14921.0,-29.24767557101415
60754.17906137731,8.5,7.346,7.615,774.052,4.913,14.01399528293257,14.8466045508224,-32.54553131203227,-21.20719506835934,3,16849.0,-29.24767557101415
60754.17906137731,8.5,7.346,7.615,774.052,4.913,14.01399528293257,14.8466045508224,-37.93199259730176,-34.81986650390627,4,11911.0,-29.24767557101415
60753.93498660879,13.2,7.149,8.601,308.445,10.805,17.8173283250402,18.69212520485841,-192.0485609180371,-25.36954326171872,2,15448.0,41.13732170670173
60753.93498660879,13.2,7.149,8.601,308.445,10.805,17.8173283250402,18.69212520485841,-23.51225950320799,-18.95615312499996,6,13564.0,41.13732170670173
60753.93498660879,13.2,7.149,8.601,308.445,10.805,17.8173283250402,18.69212520485841,-33.83587407862012,-26.81450422363281,5,19543.0,41.13732170670173
60753.93498660879,13.2,7.149,8.601,308.445,10.805,17.8173283250402,18.69212520485841,-25.64625436938383,-21.24827529296869,1,15918.0,41.13732170670173
60753.93498660879,13.2,7.149,8.601,308.445,10.805,17.8173283250402,18.69212520485841,-32.54553131203227,-19.9207944824218,3,19787.0,41.13732170670173
60753.93498660879,13.2,7.149,8.601,308.445,10.805,17.8173283250402,18.69212520485841,-38.29187521475785,-34.93092487792973,4,12253.0,41.13732170670173
60754.18762457176,8.7,7.149,7.417,770.192,4.717,14.09410833266819,14.54331650203361,-26.502556888252,-26.23735947265618,2,14243.0,-31.62210264575294
60754.18762457176,8.7,7.149,7.417,770.192,4.717,14.09410833266819,14.54331650203361,-23.87214212066408,-19.72061874999997,6,13024.0,-31.62210264575294
60754.18762457176,8.7,7.149,7.417,770.192,4.717,14.09410833266819,14.54331650203361,-32.39634360879592,-26.4863806152344,5,18871.0,-31.62210264575294
60754.18762457176,8.7,7.149,7.417,770.192,4.717,14.09410833266819,14.54331650203361,-25.64625436938383,-21.68138740234372,1,14987.0,-31.62210264575294
60754.18762457176,8.7,7.149,7.417,770.192,4.717,14.09410833266819,14.54331650203361,-32.54553131203227,-21.20719506835934,3,16768.0,-31.62210264575294
60754.18762457176,8.7,7.149,7.417,770.192,4.717,14.09410833266819,14.54331650203361,-38.29187521475785,-35.04198325195313,4,11899.0,-31.62210264575294
60754.0820316551,7.9,9.121,9.882,838.885,8.743,17.08629211896799,17.72098959014301,-27.22232212316408,-25.69497434082029,2,14959.0,-0.7297393882266888
60754.0820316551,7.9,9.121,9.882,838.885,8.743,17.08629211896799,17.72098959014301,-23.87214212066408,-19.17457187499997,6,13499.0,-0.7297393882266888
60754.0820316551,7.9,9.121,9.882,838.885,8.743,17.08629211896799,17.72098959014301,-33.11610884370805,-26.70512968749995,5,19511.0,-0.7297393882266888
60754.0820316551,7.9,9.121,9.882,838.885,8.743,17.08629211896799,17.72098959014301,-25.64625436938383,-21.35655332031246,1,15716.0,-0.7297393882266888
60754.0820316551,7.9,9.121,9.882,838.885,8.743,17.08629211896799,17.72098959014301,-32.54553131203227,-20.45679472656246,3,18608.0,-0.7297393882266888
60754.0820316551,7.9,9.121,9.882,838.885,8.743,17.08629211896799,17.72098959014301,-37.93199259730176,-34.93092487792973,4,12213.0,-0.7297393882266888
60753.86933494213,11.3,5.769,7.122,159.578,9.922,17.10896156677991,18.10339630116011,-26.14267427079591,-25.47802028808587,2,15118.0,53.87940685281836
60753.86933494213,11.3,5.769,7.122,159.578,9.922,17.10896156677991,18.10339630116011,-23.87214212066408,-19.06536249999999,6,13474.0,53.87940685281836
60753.86933494213,11.3,5.769,7.122,159.578,9.922,17.10896156677991,18.10339630116011,-33.47599146116409,-26.5957551513672,5,19265.0,53.87940685281836
60753.86933494213,11.3,5.769,7.122,159.578,9.922,17.10896156677991,18.10339630116011,-26.00613698683981,-21.35655332031246,1,15577.0,53.87940685281836
60753.86933494213,11.3,5.769,7.122,159.578,9.922,17.10896156677991,18.10339630116011,-32.54553131203227,-19.27759418945305,3,20576.0,53.87940685281836
60753.86933494213,11.3,5.769,7.122,159.578,9.922,17.10896156677991,18.10339630116011,-37.93199259730176,-34.93092487792973,4,12201.0,53.87940685281836
60754.51990981482,7.9,3.895,3.277,337.15,2.753,12.27973576396977,12.66792058262256,-29.74150044535645,-26.12888244628903,2,13987.0,-17.82555872219476
60754.51990981482,7.9,3.895,3.277,337.15,2.753,12.27973576396977,12.66792058262256,-23.51225950320799,-20.15745625,6,12730.0,-17.82555872219476
60754.51990981482,7.9,3.895,3.277,337.15,2.753,12.27973576396977,12.66792058262256,-32.03646099133988,-26.37700607910153,5,18418.0,-17.82555872219476
60754.51990981482,7.9,3.895,3.277,337.15,2.753,12.27973576396977,12.66792058262256,-25.64625436938383,-21.8979434570312,1,14569.0,-17.82555872219476
60754.51990981482,7.9,3.895,3.277,337.15,2.753,12.27973576396977,12.66792058262256,-32.9054139294883,-21.63599526367182,3,15904.0,-17.82555872219476
60754.51990981482,7.9,3.895,3.277,337.15,2.753,12.27973576396977,12.66792058262256,-37.93199259730176,-34.93092487792973,4,11715.0,-17.82555872219476
60754.40584511574,8.5,4.388,4.065,292.311,2.851,12.4564476776123,12.98658123121349,-27.94208735807621,-26.12888244628903,2,14024.0,-47.86193604292517
60754.40584511574,8.5,4.388,4.065,292.311,2.851,12.4564476776123,12.98658123121349,-23.87214212066408,-19.72061874999997,6,12789.0,-47.86193604292517
60754.40584511574,8.5,4.388,4.065,292.311,2.851,12.4564476776123,12.98658123121349,-32.39634360879592,-26.4863806152344,5,18425.0,-47.86193604292517
60754.40584511574,8.5,4.388,4.065,292.311,2.851,12.4564476776123,12.98658123121349,-26.00613698683981,-22.87244570312492,1,14505.0,-47.86193604292517
60754.40584511574,8.5,4.388,4.065,292.311,2.851,12.4564476776123,12.98658123121349,-32.54553131203227,-21.52879521484368,3,15989.0,-47.86193604292517
60754.40584511574,8.5,4.388,4.065,292.311,2.851,12.4564476776123,12.98658123121349,-37.93199259730176,-35.04198325195313,4,11730.0,-47.86193604292517
60754.45718752315,7.3,4.092,3.671,309.435,2.753,12.30870471499382,12.86780721961905,-29.38161782790041,-26.23735947265618,2,13984.0,-35.53641654649513
60754.45718752315,7.3,4.092,3.671,309.435,2.753,12.30870471499382,12.86780721961905,-23.87214212066408,-19.61140937499999,6,12776.0,-35.53641654649513
60754.45718752315,7.3,4.092,3.671,309.435,2.753,12.30870471499382,12.86780721961905,-32.75622622625201,-26.37700607910153,5,18426.0,-35.53641654649513
60754.45718752315,7.3,4.092,3.671,309.435,2.753,12.30870471499382,12.86780721961905,-25.64625436938383,-22.00622148437492,1,14476.0,-35.53641654649513
